timestamp_iso,step_idx,power_dbm_requested,power_dbm_echoed_first,count_sent,tx_done_ok,tx_done_fail,tx_timeout,radio_tx_ok_delta,radio_tx_abort_lbt_delta,radio_tx_abort_airtime_delta,mean_toa_us,tx_per_pct,rx_per_pct,rx_rssi_dbm_mean,rx_snr_db_mean,rx_crc_err_count
2026-05-22T01:44:26,0,2,2,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:44:30,1,3,3,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:44:35,2,4,4,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:44:40,3,5,5,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:44:44,4,6,6,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:44:49,5,7,7,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:44:54,6,8,8,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:44:58,7,9,9,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:45:03,8,10,10,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:45:08,9,11,11,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:45:12,10,12,12,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:45:17,11,13,13,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:45:22,12,14,14,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:45:26,13,15,15,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:45:31,14,16,16,50,50,0,0,50,0,0,25728.000,0.000,,,,
2026-05-22T01:45:36,15,17,17,50,50,0,0,50,0,0,25728.000,0.000,,,,
