step_idx,power_dbm_requested,packet_idx_in_step,tx_id,send_ts_ns,done_ts_ns,elapsed_us,outcome,status_code,toa_us,lbt_enabled,inter_cycle_s,cfg_set_age_ms,host_loop_iter_us,python_rss_kb
1,3,6,0x06,270761903392125,270761944170375,40778,ok,0,25728,0,0.0500,560,91997,0
1,3,7,0x07,270761995408125,270762035399875,39991,ok,0,25728,0,0.0500,652,92016,0
1,3,8,0x08,270762086172250,270762123421375,37249,ok,0,25728,0,0.0500,743,90764,0
1,3,9,0x09,270762174508375,270762218527250,44018,ok,0,25728,0,0.0500,831,88336,0
1,3,10,0x0a,270762269334125,270762306527500,37193,ok,0,25728,0,0.0500,926,94825,0
1,3,11,0x0b,270762357910375,270762401669000,43758,ok,0,25728,0,0.0500,1014,88576,0
1,3,12,0x0c,270762453116250,270762501580500,48464,ok,0,25728,0,0.0500,1110,95205,0
1,3,13,0x0d,270762553751125,270762598735250,44984,ok,0,25728,0,0.0500,1210,100634,0
1,3,14,0x0e,270762650429375,270762694811750,44382,ok,0,25728,0,0.0500,1307,96678,0
1,3,15,0x0f,270762745813000,270762785300000,39487,ok,0,25728,0,0.0500,1402,95383,0
1,3,16,0x10,270762836850250,270762885299250,48449,ok,0,25728,0,0.0500,1493,91037,0
1,3,17,0x11,270762935622500,270762972377875,36755,ok,0,25728,0,0.0500,1592,98772,0
1,3,18,0x12,270763023752250,270763068745625,44993,ok,0,25728,0,0.0500,1680,88129,0
1,3,19,0x13,270763120695250,270763164666875,43971,ok,0,25728,0,0.0500,1777,96943,0
1,3,20,0x14,270763216612750,270763260496875,43884,ok,0,25728,0,0.0500,1873,95917,0
1,3,21,0x15,270763312443750,270763355677750,43234,ok,0,25728,0,0.0500,1969,95831,0
1,3,22,0x16,270763406902375,270763445000250,38097,ok,0,25728,0,0.0500,2063,94458,0
1,3,23,0x17,270763495766250,270763533979500,38213,ok,0,25728,0,0.0500,2152,88863,0
1,3,24,0x18,270763585457875,270763629931625,44473,ok,0,25728,0,0.0500,2242,89691,0
1,3,25,0x19,270763680912375,270763720833500,39921,ok,0,25728,0,0.0500,2338,95454,0
1,3,26,0x1a,270763771928750,270763812207625,40278,ok,0,25728,0,0.0500,2429,91016,0
1,3,27,0x1b,270763863882875,270763907909250,44026,ok,0,25728,0,0.0500,2520,91954,0
1,3,28,0x1c,270763959113875,270763999420125,40306,ok,0,25728,0,0.0500,2616,95231,0
1,3,29,0x1d,270764050810500,270764094568375,43757,ok,0,25728,0,0.0500,2707,91696,0
1,3,30,0x1e,270764145674750,270764185863125,40188,ok,0,25728,0,0.0500,2802,94864,0
1,3,31,0x1f,270764237385625,270764281425125,44039,ok,0,25728,0,0.0500,2894,91710,0
1,3,32,0x20,270764332193125,270764369603250,37410,ok,0,25728,0,0.0500,2989,94807,0
1,3,33,0x21,270764421189375,270764465548875,44359,ok,0,25728,0,0.0500,3078,88996,0
1,3,34,0x22,270764516647250,270764557170000,40522,ok,0,25728,0,0.0500,3173,95457,0
1,3,35,0x23,270764608535125,270764652834125,44299,ok,0,25728,0,0.0500,3265,91887,0
1,3,36,0x24,270764703594250,270764741317500,37723,ok,0,25728,0,0.0500,3360,95059,0
1,3,37,0x25,270764792445875,270764832545000,40099,ok,0,25728,0,0.0500,3449,88851,0
1,3,38,0x26,270764883890000,270764927629750,43739,ok,0,25728,0,0.0500,3540,91444,0
1,3,39,0x27,270764978809375,270765019131500,40322,ok,0,25728,0,0.0500,3635,94919,0
1,3,40,0x28,270765070526000,270765109823250,39297,ok,0,25728,0,0.0500,3727,91716,0
1,3,41,0x29,270765161418125,270765203863750,42445,ok,0,25728,0,0.0500,3818,90892,0
1,3,42,0x2a,270765255274250,270765299564250,44290,ok,0,25728,0,0.0500,3912,93856,0
1,3,43,0x2b,270765351142625,270765395299125,44156,ok,0,25728,0,0.0500,4008,95868,0
1,3,44,0x2c,270765446290375,270765486345625,40055,ok,0,25728,0,0.0500,4103,95147,0
1,3,45,0x2d,270765537088125,270765572424625,35336,ok,0,25728,0,0.0500,4194,90797,0
1,3,46,0x2e,270765623059375,270765661313500,38254,ok,0,25728,0,0.0500,4280,85971,0
1,3,47,0x2f,270765713069500,270765760792375,47722,ok,0,25728,0,0.0500,4370,90010,0
1,3,48,0x30,270765811830250,270765852945000,41114,ok,0,25728,0,0.0500,4468,98760,0
1,3,49,0x31,270765904602625,270765945283375,40680,ok,0,25728,0,0.0500,4561,92772,0
2,4,0,0x00,270766055915375,270766093224750,37309,ok,0,25728,0,0.0500,21,151312,0
2,4,1,0x01,270766143963125,270766181279250,37316,ok,0,25728,0,0.0500,109,88047,0
2,4,2,0x02,270766232569875,270766272437250,39867,ok,0,25728,0,0.0500,198,88606,0
2,4,3,0x03,270766323405125,270766363132125,39727,ok,0,25728,0,0.0500,288,90835,0
2,4,4,0x04,270766414167625,270766452823250,38655,ok,0,25728,0,0.0500,379,90762,0
2,4,5,0x05,270766504756125,270766548897250,44141,ok,0,25728,0,0.0500,470,90588,0
2,4,6,0x06,270766600823000,270766645033875,44210,ok,0,25728,0,0.0500,566,96066,0
2,4,7,0x07,270766696155500,270766736726875,40571,ok,0,25728,0,0.0500,661,95332,0
2,4,8,0x08,270766788350750,270766829343625,40992,ok,0,25728,0,0.0500,753,92195,0
2,4,9,0x09,270766880416375,270766919984375,39568,ok,0,25728,0,0.0500,845,92065,0
2,4,10,0x0a,270766970406750,270767012592625,42185,ok,0,25728,0,0.0500,935,89990,0
2,4,11,0x0b,270767063812500,270767100937500,37125,ok,0,25728,0,0.0500,1029,93405,0
2,4,12,0x0c,270767152212125,270767192210125,39998,ok,0,25728,0,0.0500,1117,88399,0
2,4,13,0x0d,270767243077625,270767281092125,38014,ok,0,25728,0,0.0500,1208,90865,0
2,4,14,0x0e,270767332614250,270767376492750,43878,ok,0,25728,0,0.0500,1298,89536,0
2,4,15,0x0f,270767428184500,270767468429750,40245,ok,0,25728,0,0.0500,1393,95570,0
2,4,16,0x10,270767519521750,270767559687625,40165,ok,0,25728,0,0.0500,1484,91337,0
2,4,17,0x11,270767610769625,270767649783000,39013,ok,0,25728,0,0.0500,1576,91247,0
2,4,18,0x12,270767700809125,270767739362500,38553,ok,0,25728,0,0.0500,1666,90039,0
2,4,19,0x13,270767791074625,270767835153500,44078,ok,0,25728,0,0.0500,1756,90265,0
2,4,20,0x14,270767886266875,270767926664625,40397,ok,0,25728,0,0.0500,1851,95192,0
2,4,21,0x15,270767977433000,270768014425500,36992,ok,0,25728,0,0.0500,1942,91166,0
