Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=79.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=2442 radio_crc_err=11 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=47 rssi=-119 snr=-4 len=17 timestamp_us=3122772311 payload_hex=5750207330302070303220693030343620
__RX_FRAME__ idx=48 rssi=-119 snr=-5 len=17 timestamp_us=3122863731 payload_hex=5750207330302070303220693030343720
__RX_FRAME__ idx=49 rssi=-117 snr=-5 len=17 timestamp_us=3122960299 payload_hex=5750207330302070303220693030343820
__RX_FRAME__ idx=50 rssi=-119 snr=-4 len=17 timestamp_us=3123049372 payload_hex=5750207330302070303220693030343920
__RX_FRAME__ idx=51 rssi=-118 snr=-4 len=17 timestamp_us=3123195285 payload_hex=5750207330312070303320693030303020
__RX_FRAME__ idx=52 rssi=-119 snr=-3 len=17 timestamp_us=3123286616 payload_hex=5750207330312070303320693030303120
__RX_FRAME__ idx=53 rssi=-118 snr=-4 len=17 timestamp_us=3123381923 payload_hex=5750207330312070303320693030303220
__RX_FRAME__ idx=54 rssi=-118 snr=-4 len=17 timestamp_us=3123467271 payload_hex=5750207330312070303320693030303320
__RX_FRAME__ idx=55 rssi=-119 snr=-3 len=17 timestamp_us=3123553687 payload_hex=5750207330312070303320693030303420
__RX_FRAME__ idx=56 rssi=-119 snr=-3 len=17 timestamp_us=3123645503 payload_hex=5750207330312070303320693030303520
__RX_FRAME__ idx=57 rssi=-118 snr=-4 len=17 timestamp_us=3123737624 payload_hex=5750207330312070303320693030303620
__RX_FRAME__ idx=58 rssi=-118 snr=-4 len=17 timestamp_us=3123829644 payload_hex=5750207330312070303320693030303720
__RX_FRAME__ idx=59 rssi=-118 snr=-3 len=17 timestamp_us=3123918224 payload_hex=5750207330312070303320693030303820
__RX_FRAME__ idx=60 rssi=-118 snr=-4 len=17 timestamp_us=3124012644 payload_hex=5750207330312070303320693030303920
__RX_FRAME__ idx=61 rssi=-118 snr=-4 len=17 timestamp_us=3124101594 payload_hex=5750207330312070303320693030313020
__RX_FRAME__ idx=62 rssi=-118 snr=-4 len=17 timestamp_us=3124196414 payload_hex=5750207330312070303320693030313120
__RX_FRAME__ idx=63 rssi=-118 snr=-4 len=17 timestamp_us=3124291643 payload_hex=5750207330312070303320693030313220
__RX_FRAME__ idx=64 rssi=-119 snr=-4 len=17 timestamp_us=3124392419 payload_hex=5750207330312070303320693030313320
__RX_FRAME__ idx=65 rssi=-118 snr=-4 len=17 timestamp_us=3124489303 payload_hex=5750207330312070303320693030313420
__RX_FRAME__ idx=66 rssi=-118 snr=-4 len=17 timestamp_us=3124580790 payload_hex=5750207330312070303320693030313520
__RX_FRAME__ idx=67 rssi=-118 snr=-3 len=17 timestamp_us=3124675802 payload_hex=5750207330312070303320693030313620
__RX_FRAME__ idx=68 rssi=-118 snr=-3 len=17 timestamp_us=3124768225 payload_hex=5750207330312070303320693030313720
__RX_FRAME__ idx=69 rssi=-118 snr=-3 len=17 timestamp_us=3124863003 payload_hex=5750207330312070303320693030313820
__RX_FRAME__ idx=70 rssi=-118 snr=-4 len=17 timestamp_us=3124959722 payload_hex=5750207330312070303320693030313920
__RX_FRAME__ idx=71 rssi=-118 snr=-3 len=17 timestamp_us=3125055715 payload_hex=5750207330312070303320693030323020
__RX_FRAME__ idx=72 rssi=-117 snr=-4 len=17 timestamp_us=3125151653 payload_hex=5750207330312070303320693030323120
__RX_FRAME__ idx=73 rssi=-118 snr=-4 len=17 timestamp_us=3125243078 payload_hex=5750207330312070303320693030323220
__RX_FRAME__ idx=74 rssi=-118 snr=-4 len=17 timestamp_us=3125330304 payload_hex=5750207330312070303320693030323320
