delay_ms,burst,attempt,resp_size,first_byte,result_class,hex_prefix
2,1,1,1,79,ACK,79
2,2,1,0,NA,SILENT,NA
2,3,1,0,NA,SILENT,NA
2,4,1,0,NA,SILENT,NA
2,5,1,0,NA,SILENT,NA
2,6,1,0,NA,SILENT,NA
2,7,1,0,NA,SILENT,NA
2,8,1,0,NA,SILENT,NA
2,9,1,0,NA,SILENT,NA
2,10,1,0,NA,SILENT,NA
2,11,1,0,NA,SILENT,NA
2,12,1,3,00,ZERO,000000
2,13,1,0,NA,SILENT,NA
2,14,1,0,NA,SILENT,NA
2,15,1,0,NA,SILENT,NA
2,16,1,3,00,ZERO,000000
2,17,1,0,NA,SILENT,NA
2,18,1,1,79,ACK,79
2,19,1,1,80,OTHER,80
2,20,1,4,00,ZERO,00000000
5,1,1,0,NA,SILENT,NA
5,2,1,0,NA,SILENT,NA
5,3,1,0,NA,SILENT,NA
5,4,1,0,NA,SILENT,NA
5,5,1,0,NA,SILENT,NA
5,6,1,0,NA,SILENT,NA
5,7,1,0,NA,SILENT,NA
5,8,1,0,NA,SILENT,NA
5,9,1,0,NA,SILENT,NA
5,10,1,0,NA,SILENT,NA
5,11,1,0,NA,SILENT,NA
5,12,1,0,NA,SILENT,NA
5,13,1,4,00,ZERO,00000000
5,14,1,0,NA,SILENT,NA
5,15,1,0,NA,SILENT,NA
5,16,1,0,NA,SILENT,NA
5,17,1,0,NA,SILENT,NA
5,18,1,0,NA,SILENT,NA
5,19,1,0,NA,SILENT,NA
5,20,1,0,NA,SILENT,NA
10,1,1,0,NA,SILENT,NA
10,2,1,0,NA,SILENT,NA
10,3,1,0,NA,SILENT,NA
10,4,1,5,00,ZERO,0000000000
10,5,1,0,NA,SILENT,NA
10,6,1,0,NA,SILENT,NA
10,7,1,3,00,ZERO,000000
10,8,1,0,NA,SILENT,NA
10,9,1,3,80,OTHER,800000
10,10,1,0,NA,SILENT,NA
10,11,1,0,NA,SILENT,NA
10,12,1,1,79,ACK,79
10,13,1,0,NA,SILENT,NA
10,14,1,1,1f,NACK,1f
10,15,1,0,NA,SILENT,NA
10,16,1,0,NA,SILENT,NA
10,17,1,0,NA,SILENT,NA
10,18,1,0,NA,SILENT,NA
10,19,1,0,NA,SILENT,NA
10,20,1,0,NA,SILENT,NA
