runtrctphase10_resulttrom_ack_attempttuserhalt_sizetuserhalt_firsttlatest_dir
1t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080551
1t0tOKt1t0tNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080500
2t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080600
3t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080608
4t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080617
5t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080625
6t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080634
7t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080642
8t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080651
