delay_ms,burst,attempt,resp_size,first_byte,result_class,hex_prefix
5,1,1,1,1f,NACK,1f
5,2,1,0,NA,SILENT,NA
5,3,1,1,1f,NACK,1f
5,4,1,0,NA,SILENT,NA
5,5,1,1,1f,NACK,1f
5,6,1,0,NA,SILENT,NA
5,7,1,1,79,ACK,79
5,8,1,0,NA,SILENT,NA
5,9,1,3,3f,OTHER,3ffe80
5,10,1,0,NA,SILENT,NA
5,11,1,0,NA,SILENT,NA
5,12,1,3,00,ZERO,000000
5,13,1,0,NA,SILENT,NA
5,14,1,0,NA,SILENT,NA
5,15,1,5,00,ZERO,000000fe00
5,16,1,5,00,ZERO,000000fe00
5,17,1,1,79,ACK,79
5,18,1,0,NA,SILENT,NA
5,19,1,0,NA,SILENT,NA
5,20,1,0,NA,SILENT,NA
5,21,1,0,NA,SILENT,NA
5,22,1,1,80,OTHER,80
5,23,1,0,NA,SILENT,NA
5,24,1,0,NA,SILENT,NA
5,25,1,1,e0,OTHER,e0
5,26,1,4,00,ZERO,00000000
5,27,1,1,79,ACK,79
5,28,1,0,NA,SILENT,NA
5,29,1,1,1f,NACK,1f
5,30,1,0,NA,SILENT,NA
5,31,1,1,1f,NACK,1f
5,32,1,0,NA,SILENT,NA
5,33,1,1,1f,NACK,1f
5,34,1,0,NA,SILENT,NA
5,35,1,1,1f,NACK,1f
5,36,1,0,NA,SILENT,NA
5,37,1,1,79,ACK,79
5,38,1,0,NA,SILENT,NA
5,39,1,1,1f,NACK,1f
5,40,1,0,NA,SILENT,NA
5,41,1,1,1f,NACK,1f
5,42,1,0,NA,SILENT,NA
5,43,1,1,1f,NACK,1f
5,44,1,0,NA,SILENT,NA
5,45,1,1,fe,OTHER,fe
5,46,1,6,80,OTHER,800000000080
5,47,1,1,79,ACK,79
5,48,1,0,NA,SILENT,NA
5,49,1,1,1f,NACK,1f
5,50,1,0,NA,SILENT,NA
