cycle,launcher_rc,evidence_dir,final_result,elapsed_s,sync_ok,getid_ok,erase_ok,write_ok,verify_ok,boot_ok
1,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2022-04-30_081157,FAIL_SYNC,5,0,0,0,0,0,0
2,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2022-04-30_081209,FAIL_SYNC,5,0,0,0,0,0,0
3,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2022-04-30_081221,FAIL_SYNC,5,0,0,0,0,0,0
4,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2022-04-30_081232,FAIL_SYNC,6,0,0,0,0,0,0
5,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2022-04-30_081244,FAIL_SYNC,5,0,0,0,0,0,0
6,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2022-04-30_081256,FAIL_SYNC,5,0,0,0,0,0,0
7,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2022-04-30_081307,FAIL_SYNC,5,0,0,0,0,0,0
8,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2022-04-30_081319,FAIL_SYNC,5,0,0,0,0,0,0
9,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2022-04-30_081330,FAIL_SYNC,6,0,0,0,0,0,0
