"cycle","wall_start","pre_probe_sleep_s","reboot_rc","wait_for_device_s","probe_launch_s","probe_total_s","cycle_timeout","t_boot_urc_ms","t_profile_emit_ms","profile_ok","profile_text","drained_during_boot","notes"
"1","2026-05-22T16:14:10.2621540-05:00","0.05","0",,,"15.13","0",,"10","0","ERR request_failed:TimeoutError","0",""
"2","2026-05-22T16:14:25.4469464-05:00","0.05","0",,,"15.15","0",,"10","0","ERR request_failed:TimeoutError","0",""
"3","2026-05-22T16:14:40.6016481-05:00","0.05","0",,,"15.14","0",,"10","0","ERR request_failed:TimeoutError","0",""
"4","2026-05-22T16:14:55.7558480-05:00","0.05","0",,,"15.14","0",,"10","0","ERR request_failed:TimeoutError","0",""
"5","2026-05-22T16:15:10.9006590-05:00","0.05","0",,,"15.14","0",,"10","0","ERR request_failed:TimeoutError","0",""
