=== W2-02 TX: 344 fragments, uart=/dev/ttymxc3 ===
__W2_02_TX_FRAG__ idx=20 tx_id=0x14 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd000aab200020003f016aac4f2b2624223008016020096300bdd023cea49d46af05b54575bc2dddd68d2c861fbd200000f8c6636faaa34379a9e41a46072176
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=21 tx_id=0x15 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd000aab210020003f016aac4f2b2624223008016020096300bdd023cea49d46af05b54575bc2dddd68d2c861fbd200000f8c6636faaa34379a9e41a46072176
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=22 tx_id=0x16 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd000bab202ab3e9e5826504d64255abd7c8aaa336ae7624759d503d54a09ebbd826f4b667f7145e8bfde5f7003dc000005b5249464654000000574542505650
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=23 tx_id=0x17 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd000bab212ab3e9e5826504d64255abd7c8aaa336ae7624759d503d54a09ebbd826f4b667f7145e8bfde5f7003dc000005b5249464654000000574542505650
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=24 tx_id=0x18 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd000cab203820480000009003009d012a200020003f016cb0512b25a4a2b01808016020096500bb000d1a54818e3ae000feed5cc45530693d5d9fe3e3149de6
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=25 tx_id=0x19 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd000cab213820480000009003009d012a200020003f016cb0512b25a4a2b01808016020096500bb000d1a54818e3ae000feed5cc45530693d5d9fe3e3149de6
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=26 tx_id=0x1A status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd000dab20ed46ef60e8ec77b3e9acf2130eae6d5ccc00007952494646720000005745425056503820660000007004009d012a200020003f016cab4f2b2623a9
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=27 tx_id=0x1B status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd000dab21ed46ef60e8ec77b3e9acf2130eae6d5ccc00007952494646720000005745425056503820660000007004009d012a200020003f016cab4f2b2623a9
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=28 tx_id=0x1C status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd000eab20b0180c016020096600ae1c8312c54ec923d2bf8a0f6497000000fee718342584b5fcabd5e655f8a1eeffbf017bade08f2591d9edcb25b2a1eedfc2
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=29 tx_id=0x1D status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd000eab21b0180c016020096600ae1c8312c54ec923d2bf8a0f6497000000fee718342584b5fcabd5e655f8a1eeffbf017bade08f2591d9edcb25b2a1eedfc2
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=30 tx_id=0x1E status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd000fab20f88b3753693442b006e1df1ab814e4267f1b0a38783000005f524946465800000057454250565038204c0000009003009d012a200020003f0170af
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=31 tx_id=0x1F status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd000fab21f88b3753693442b006e1df1ab814e4267f1b0a38783000005f524946465800000057454250565038204c0000009003009d012a200020003f0170af
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=32 tx_id=0x20 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0010ab204f2b26a4a230080160200940169d00d65aa3915663202000e8799a0c6a2608de267364fefa2bc961a368e5446dd93db5b40e66ad50b3750e679617
INFO: unrelated frame during TX wait type=0xC0
