Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=55.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=3906 radio_crc_err=16 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=47 rssi=-118 snr=-4 len=17 timestamp_us=3306540639 payload_hex=5750207330312070303320693030303320
__RX_FRAME__ idx=48 rssi=-118 snr=-4 len=17 timestamp_us=3306600253 payload_hex=5750207330312070303320693030303420
__RX_FRAME__ idx=49 rssi=-118 snr=-4 len=17 timestamp_us=3306659190 payload_hex=5750207330312070303320693030303520
__RX_FRAME__ idx=50 rssi=-118 snr=-4 len=17 timestamp_us=3306718708 payload_hex=5750207330312070303320693030303620
__RX_FRAME__ idx=51 rssi=-118 snr=-3 len=17 timestamp_us=3306780046 payload_hex=5750207330312070303320693030303720
__RX_FRAME__ idx=52 rssi=-118 snr=-4 len=17 timestamp_us=3306845590 payload_hex=5750207330312070303320693030303820
__RX_FRAME__ idx=53 rssi=-117 snr=-4 len=17 timestamp_us=3306906709 payload_hex=5750207330312070303320693030303920
__RX_FRAME__ idx=54 rssi=-118 snr=-3 len=17 timestamp_us=3306963436 payload_hex=5750207330312070303320693030313020
__RX_FRAME__ idx=55 rssi=-118 snr=-4 len=17 timestamp_us=3307022313 payload_hex=5750207330312070303320693030313120
__RX_FRAME__ idx=56 rssi=-118 snr=-3 len=17 timestamp_us=3307144727 payload_hex=5750207330312070303320693030313320
__RX_FRAME__ idx=57 rssi=-118 snr=-3 len=17 timestamp_us=3307209073 payload_hex=5750207330312070303320693030313420
__RX_FRAME__ idx=58 rssi=-119 snr=-3 len=17 timestamp_us=3307268286 payload_hex=5750207330312070303320693030313520
__RX_FRAME__ idx=59 rssi=-118 snr=-3 len=17 timestamp_us=3307329490 payload_hex=5750207330312070303320693030313620
__RX_FRAME__ idx=60 rssi=-118 snr=-4 len=17 timestamp_us=3307499951 payload_hex=5750207330312070303320693030323020
__RX_FRAME__ idx=61 rssi=-118 snr=-4 len=17 timestamp_us=3307559894 payload_hex=5750207330312070303320693030323120
__RX_FRAME__ idx=62 rssi=-118 snr=-4 len=17 timestamp_us=3307620819 payload_hex=5750207330312070303320693030323220
__RX_FRAME__ idx=63 rssi=-118 snr=-3 len=17 timestamp_us=3307686541 payload_hex=5750207330312070303320693030323320
__RX_FRAME__ idx=64 rssi=-119 snr=-4 len=17 timestamp_us=3307747615 payload_hex=5750207330312070303320693030323420
__RX_FRAME__ idx=65 rssi=-118 snr=-4 len=17 timestamp_us=3307808978 payload_hex=5750207330312070303320693030323520
__RX_FRAME__ idx=66 rssi=-118 snr=-3 len=17 timestamp_us=3307875171 payload_hex=5750207330312070303320693030323620
__RX_FRAME__ idx=67 rssi=-118 snr=-3 len=17 timestamp_us=3307935115 payload_hex=5750207330312070303320693030323720
__RX_FRAME__ idx=68 rssi=-118 snr=-4 len=17 timestamp_us=3308000240 payload_hex=5750207330312070303320693030323820
__RX_FRAME__ idx=69 rssi=-118 snr=-4 len=17 timestamp_us=3308065486 payload_hex=5750207330312070303320693030323920
__RX_FRAME__ idx=70 rssi=-118 snr=-4 len=17 timestamp_us=3308125883 payload_hex=5750207330312070303320693030333020
__RX_FRAME__ idx=71 rssi=-118 snr=-4 len=17 timestamp_us=3308187224 payload_hex=5750207330312070303320693030333120
__RX_FRAME__ idx=72 rssi=-118 snr=-4 len=17 timestamp_us=3308248500 payload_hex=5750207330312070303320693030333220
__RX_FRAME__ idx=73 rssi=-118 snr=-3 len=17 timestamp_us=3308313995 payload_hex=5750207330312070303320693030333320
__RX_FRAME__ idx=74 rssi=-118 snr=-4 len=17 timestamp_us=3308380713 payload_hex=5750207330312070303320693030333420
__RX_FRAME__ idx=75 rssi=-120 snr=-3 len=17 timestamp_us=3308520066 payload_hex=5750207330312070303320693030333720
__RX_FRAME__ idx=76 rssi=-118 snr=-4 len=17 timestamp_us=3308576567 payload_hex=5750207330312070303320693030333820
__RX_FRAME__ idx=77 rssi=-118 snr=-3 len=17 timestamp_us=3308641244 payload_hex=5750207330312070303320693030333920
__RX_FRAME__ idx=78 rssi=-118 snr=-4 len=17 timestamp_us=3308701679 payload_hex=5750207330312070303320693030343020
__RX_FRAME__ idx=79 rssi=-118 snr=-4 len=17 timestamp_us=3308760943 payload_hex=5750207330312070303320693030343120
__RX_FRAME__ idx=80 rssi=-119 snr=-4 len=17 timestamp_us=3308826403 payload_hex=5750207330312070303320693030343220
__RX_FRAME__ idx=81 rssi=-118 snr=-4 len=17 timestamp_us=3308888598 payload_hex=5750207330312070303320693030343320
__RX_FRAME__ idx=82 rssi=-119 snr=-3 len=17 timestamp_us=3308950135 payload_hex=5750207330312070303320693030343420
__RX_FRAME__ idx=83 rssi=-119 snr=-4 len=17 timestamp_us=3309011643 payload_hex=5750207330312070303320693030343520
__RX_FRAME__ idx=84 rssi=-119 snr=-4 len=17 timestamp_us=3309070089 payload_hex=5750207330312070303320693030343620
__RX_FRAME__ idx=85 rssi=-118 snr=-3 len=17 timestamp_us=3309130902 payload_hex=5750207330312070303320693030343720
__RX_FRAME__ idx=86 rssi=-118 snr=-4 len=17 timestamp_us=3309190320 payload_hex=5750207330312070303320693030343820
__RX_FRAME__ idx=87 rssi=-118 snr=-3 len=17 timestamp_us=3309252951 payload_hex=5750207330312070303320693030343920
__RX_FRAME__ idx=88 rssi=-117 snr=-2 len=17 timestamp_us=3309373436 payload_hex=5750207330322070303420693030303020
__RX_FRAME__ idx=89 rssi=-117 snr=-3 len=17 timestamp_us=3309433581 payload_hex=5750207330322070303420693030303120
__RX_FRAME__ idx=90 rssi=-119 snr=-2 len=17 timestamp_us=3309531255 payload_hex=5750207330322070303420693030303320
__RX_FRAME__ idx=91 rssi=-118 snr=-2 len=17 timestamp_us=3309590235 payload_hex=5750207330322070303420693030303420
__RX_FRAME__ idx=92 rssi=-118 snr=-3 len=17 timestamp_us=3309649624 payload_hex=5750207330322070303420693030303520
__RX_FRAME__ idx=93 rssi=-118 snr=-3 len=17 timestamp_us=3309710985 payload_hex=5750207330322070303420693030303620
__RX_FRAME__ idx=94 rssi=-118 snr=-2 len=17 timestamp_us=3309772380 payload_hex=5750207330322070303420693030303720
__RX_FRAME__ idx=95 rssi=-118 snr=-3 len=17 timestamp_us=3309833810 payload_hex=5750207330322070303420693030303820
__RX_FRAME__ idx=96 rssi=-118 snr=-3 len=17 timestamp_us=3309892983 payload_hex=5750207330322070303420693030303920
__RX_FRAME__ idx=97 rssi=-118 snr=-3 len=17 timestamp_us=3309953025 payload_hex=5750207330322070303420693030313020
__RX_FRAME__ idx=98 rssi=-118 snr=-3 len=17 timestamp_us=3310014400 payload_hex=5750207330322070303420693030313120
__RX_FRAME__ idx=99 rssi=-118 snr=-3 len=17 timestamp_us=3310080018 payload_hex=5750207330322070303420693030313220
__RX_FRAME__ idx=100 rssi=-117 snr=-3 len=17 timestamp_us=3310145996 payload_hex=5750207330322070303420693030313320
__RX_FRAME__ idx=101 rssi=-118 snr=-3 len=17 timestamp_us=3310207185 payload_hex=5750207330322070303420693030313420
__RX_FRAME__ idx=102 rssi=-118 snr=-2 len=17 timestamp_us=3310272392 payload_hex=5750207330322070303420693030313520
__RX_FRAME__ idx=103 rssi=-118 snr=-3 len=17 timestamp_us=3310332809 payload_hex=5750207330322070303420693030313620
__RX_FRAME__ idx=104 rssi=-118 snr=-3 len=17 timestamp_us=3310397918 payload_hex=5750207330322070303420693030313720
__RX_FRAME__ idx=105 rssi=-117 snr=-2 len=17 timestamp_us=3310533957 payload_hex=5750207330322070303420693030323020
__RX_FRAME__ idx=106 rssi=-117 snr=-3 len=17 timestamp_us=3310596552 payload_hex=5750207330322070303420693030323120
__RX_FRAME__ idx=107 rssi=-118 snr=-3 len=17 timestamp_us=3310657726 payload_hex=5750207330322070303420693030323220
__RX_FRAME__ idx=108 rssi=-117 snr=-2 len=17 timestamp_us=3310718985 payload_hex=5750207330322070303420693030323320
__RX_FRAME__ idx=109 rssi=-117 snr=-2 len=17 timestamp_us=3310784260 payload_hex=5750207330322070303420693030323420
__RX_FRAME__ idx=110 rssi=-118 snr=-2 len=17 timestamp_us=3310842754 payload_hex=5750207330322070303420693030323520
__RX_FRAME__ idx=111 rssi=-118 snr=-3 len=17 timestamp_us=3310913314 payload_hex=5750207330322070303420693030323620
__RX_FRAME__ idx=112 rssi=-118 snr=-3 len=17 timestamp_us=3310974062 payload_hex=5750207330322070303420693030323720
__RX_FRAME__ idx=113 rssi=-118 snr=-2 len=17 timestamp_us=3311033686 payload_hex=5750207330322070303420693030323820
