# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:46:47Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

delay_ms,burst,total_attempts,ack_count,nack_count,zero_count,silent_count,other_count,burst_pass
30,1,10,1,4,0,5,0,1
30,2,10,0,5,0,5,0,0
30,3,10,0,5,0,5,0,0
30,4,10,0,5,0,5,0,0
30,5,10,1,4,0,5,0,1
50,1,10,0,5,0,5,0,0
50,2,10,0,5,0,5,0,0
50,3,10,0,5,0,5,0,0
50,4,10,1,4,0,5,0,1
50,5,10,0,5,0,5,0,0
