"cycle","wall_start","pre_probe_sleep_s","reboot_rc","wait_for_device_s","probe_launch_s","probe_total_s","cycle_timeout","t_boot_urc_ms","t_profile_emit_ms","profile_ok","profile_text","drained_during_boot","notes"
"1","2026-05-22T16:08:00.8577013-05:00","0.05","0",,,"15.14","0",,"6","0","ERR request_failed:TimeoutError","1",""
"2","2026-05-22T16:08:16.0529689-05:00","0.05","0",,,"15.12","0",,"6","0","ERR request_failed:TimeoutError","1",""
"3","2026-05-22T16:08:31.1911723-05:00","0.05","0",,,"15.14","0",,"6","0","ERR request_failed:TimeoutError","1",""
"4","2026-05-22T16:08:46.3369084-05:00","0.05","0",,,"15.14","0",,"6","0","ERR request_failed:TimeoutError","1",""
"5","2026-05-22T16:09:01.4753254-05:00","0.05","0",,,"15.14","0",,"6","0","ERR request_failed:TimeoutError","1",""
