Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=79.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=3213 radio_crc_err=14 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=47 rssi=-118 snr=-4 len=17 timestamp_us=3211775226 payload_hex=5750207330302070303220693030343620
__RX_FRAME__ idx=48 rssi=-118 snr=-4 len=17 timestamp_us=3211882393 payload_hex=5750207330302070303220693030343720
__RX_FRAME__ idx=49 rssi=-118 snr=-5 len=17 timestamp_us=3211985591 payload_hex=5750207330302070303220693030343820
__RX_FRAME__ idx=50 rssi=-118 snr=-4 len=17 timestamp_us=3212081812 payload_hex=5750207330302070303220693030343920
__RX_FRAME__ idx=51 rssi=-118 snr=-3 len=17 timestamp_us=3212235143 payload_hex=5750207330312070303320693030303020
__RX_FRAME__ idx=52 rssi=-119 snr=-3 len=17 timestamp_us=3212343381 payload_hex=5750207330312070303320693030303120
__RX_FRAME__ idx=53 rssi=-118 snr=-4 len=17 timestamp_us=3212441548 payload_hex=5750207330312070303320693030303220
__RX_FRAME__ idx=54 rssi=-118 snr=-5 len=17 timestamp_us=3212549755 payload_hex=5750207330312070303320693030303320
__RX_FRAME__ idx=55 rssi=-118 snr=-4 len=17 timestamp_us=3212655953 payload_hex=5750207330312070303320693030303420
__RX_FRAME__ idx=56 rssi=-118 snr=-3 len=17 timestamp_us=3212752122 payload_hex=5750207330312070303320693030303520
__RX_FRAME__ idx=57 rssi=-118 snr=-4 len=17 timestamp_us=3212859330 payload_hex=5750207330312070303320693030303620
__RX_FRAME__ idx=58 rssi=-117 snr=-4 len=17 timestamp_us=3212962545 payload_hex=5750207330312070303320693030303720
__RX_FRAME__ idx=59 rssi=-118 snr=-3 len=17 timestamp_us=3213067779 payload_hex=5750207330312070303320693030303820
__RX_FRAME__ idx=60 rssi=-118 snr=-3 len=17 timestamp_us=3213177004 payload_hex=5750207330312070303320693030303920
__RX_FRAME__ idx=61 rssi=-118 snr=-3 len=17 timestamp_us=3213281203 payload_hex=5750207330312070303320693030313020
__RX_FRAME__ idx=62 rssi=-119 snr=-4 len=17 timestamp_us=3213374376 payload_hex=5750207330312070303320693030313120
__RX_FRAME__ idx=63 rssi=-118 snr=-4 len=17 timestamp_us=3213464547 payload_hex=5750207330312070303320693030313220
__RX_FRAME__ idx=64 rssi=-118 snr=-4 len=17 timestamp_us=3213566757 payload_hex=5750207330312070303320693030313320
__RX_FRAME__ idx=65 rssi=-118 snr=-4 len=17 timestamp_us=3213669984 payload_hex=5750207330312070303320693030313420
__RX_FRAME__ idx=66 rssi=-118 snr=-4 len=17 timestamp_us=3213769180 payload_hex=5750207330312070303320693030313520
__RX_FRAME__ idx=67 rssi=-118 snr=-3 len=17 timestamp_us=3213877369 payload_hex=5750207330312070303320693030313620
__RX_FRAME__ idx=68 rssi=-118 snr=-3 len=17 timestamp_us=3213970544 payload_hex=5750207330312070303320693030313720
__RX_FRAME__ idx=69 rssi=-118 snr=-3 len=17 timestamp_us=3214072723 payload_hex=5750207330312070303320693030313820
__RX_FRAME__ idx=70 rssi=-119 snr=-4 len=17 timestamp_us=3214177909 payload_hex=5750207330312070303320693030313920
__RX_FRAME__ idx=71 rssi=-118 snr=-4 len=17 timestamp_us=3214274087 payload_hex=5750207330312070303320693030323020
__RX_FRAME__ idx=72 rssi=-118 snr=-4 len=17 timestamp_us=3214370319 payload_hex=5750207330312070303320693030323120
__RX_FRAME__ idx=73 rssi=-119 snr=-4 len=17 timestamp_us=3214476543 payload_hex=5750207330312070303320693030323220
__RX_FRAME__ idx=74 rssi=-118 snr=-4 len=17 timestamp_us=3214589789 payload_hex=5750207330312070303320693030323320
__RX_FRAME__ idx=75 rssi=-118 snr=-3 len=17 timestamp_us=3214697016 payload_hex=5750207330312070303320693030323420
__RX_FRAME__ idx=76 rssi=-117 snr=-4 len=17 timestamp_us=3214806233 payload_hex=5750207330312070303320693030323520
__RX_FRAME__ idx=77 rssi=-118 snr=-3 len=17 timestamp_us=3215022688 payload_hex=5750207330312070303320693030323720
__RX_FRAME__ idx=78 rssi=-118 snr=-3 len=17 timestamp_us=3215121913 payload_hex=5750207330312070303320693030323820
__RX_FRAME__ idx=79 rssi=-119 snr=-3 len=17 timestamp_us=3215223146 payload_hex=5750207330312070303320693030323920
__RX_FRAME__ idx=80 rssi=-118 snr=-4 len=17 timestamp_us=3215325358 payload_hex=5750207330312070303320693030333020
__RX_FRAME__ idx=81 rssi=-118 snr=-3 len=17 timestamp_us=3215427591 payload_hex=5750207330312070303320693030333120
__RX_FRAME__ idx=82 rssi=-119 snr=-4 len=17 timestamp_us=3215531832 payload_hex=5750207330312070303320693030333220
__RX_FRAME__ idx=83 rssi=-118 snr=-3 len=17 timestamp_us=3215649090 payload_hex=5750207330312070303320693030333320
__RX_FRAME__ idx=84 rssi=-118 snr=-3 len=17 timestamp_us=3215758324 payload_hex=5750207330312070303320693030333420
__RX_FRAME__ idx=85 rssi=-119 snr=-3 len=17 timestamp_us=3215860533 payload_hex=5750207330312070303320693030333520
__RX_FRAME__ idx=86 rssi=-119 snr=-4 len=17 timestamp_us=3215969754 payload_hex=5750207330312070303320693030333620
__RX_FRAME__ idx=87 rssi=-118 snr=-4 len=17 timestamp_us=3216066968 payload_hex=5750207330312070303320693030333720
__RX_FRAME__ idx=88 rssi=-118 snr=-4 len=17 timestamp_us=3216160161 payload_hex=5750207330312070303320693030333820
__RX_FRAME__ idx=89 rssi=-118 snr=-4 len=17 timestamp_us=3216260374 payload_hex=5750207330312070303320693030333920
__RX_FRAME__ idx=90 rssi=-119 snr=-3 len=17 timestamp_us=3216352559 payload_hex=5750207330312070303320693030343020
__RX_FRAME__ idx=91 rssi=-118 snr=-3 len=17 timestamp_us=3216449748 payload_hex=5750207330312070303320693030343120
__RX_FRAME__ idx=92 rssi=-118 snr=-3 len=17 timestamp_us=3216556976 payload_hex=5750207330312070303320693030343220
__RX_FRAME__ idx=93 rssi=-118 snr=-4 len=17 timestamp_us=3216663212 payload_hex=5750207330312070303320693030343320
__RX_FRAME__ idx=94 rssi=-118 snr=-3 len=17 timestamp_us=3216776431 payload_hex=5750207330312070303320693030343420
__RX_FRAME__ idx=95 rssi=-118 snr=-4 len=17 timestamp_us=3216872603 payload_hex=5750207330312070303320693030343520
__RX_FRAME__ idx=96 rssi=-119 snr=-4 len=17 timestamp_us=3216975794 payload_hex=5750207330312070303320693030343620
__RX_FRAME__ idx=97 rssi=-118 snr=-4 len=17 timestamp_us=3217081007 payload_hex=5750207330312070303320693030343720
__RX_FRAME__ idx=98 rssi=-118 snr=-3 len=17 timestamp_us=3217178182 payload_hex=5750207330312070303320693030343820
__RX_FRAME__ idx=99 rssi=-118 snr=-3 len=17 timestamp_us=3217285388 payload_hex=5750207330312070303320693030343920
__RX_FRAME__ idx=100 rssi=-118 snr=-3 len=17 timestamp_us=3217449664 payload_hex=5750207330322070303420693030303020
__RX_FRAME__ idx=101 rssi=-118 snr=-3 len=17 timestamp_us=3217552816 payload_hex=5750207330322070303420693030303120
__RX_FRAME__ idx=102 rssi=-117 snr=-3 len=17 timestamp_us=3217654003 payload_hex=5750207330322070303420693030303220
__RX_FRAME__ idx=103 rssi=-118 snr=-3 len=17 timestamp_us=3217762238 payload_hex=5750207330322070303420693030303320
__RX_FRAME__ idx=104 rssi=-117 snr=-3 len=17 timestamp_us=3217868477 payload_hex=5750207330322070303420693030303420
__RX_FRAME__ idx=105 rssi=-118 snr=-3 len=17 timestamp_us=3217976684 payload_hex=5750207330322070303420693030303520
__RX_FRAME__ idx=106 rssi=-118 snr=-3 len=17 timestamp_us=3218079882 payload_hex=5750207330322070303420693030303620
__RX_FRAME__ idx=107 rssi=-118 snr=-2 len=17 timestamp_us=3218182072 payload_hex=5750207330322070303420693030303720
__RX_FRAME__ idx=108 rssi=-118 snr=-3 len=17 timestamp_us=3218280258 payload_hex=5750207330322070303420693030303820
__RX_FRAME__ idx=109 rssi=-118 snr=-2 len=17 timestamp_us=3218373444 payload_hex=5750207330322070303420693030303920
__RX_FRAME__ idx=110 rssi=-118 snr=-2 len=17 timestamp_us=3218477675 payload_hex=5750207330322070303420693030313020
__RX_FRAME__ idx=111 rssi=-117 snr=-3 len=17 timestamp_us=3218579934 payload_hex=5750207330322070303420693030313120
__RX_FRAME__ idx=112 rssi=-117 snr=-2 len=17 timestamp_us=3218681179 payload_hex=5750207330322070303420693030313220
__RX_FRAME__ idx=113 rssi=-117 snr=-2 len=17 timestamp_us=3218790420 payload_hex=5750207330322070303420693030313320
__RX_FRAME__ idx=114 rssi=-119 snr=-2 len=17 timestamp_us=3218889643 payload_hex=5750207330322070303420693030313420
__RX_FRAME__ idx=115 rssi=-118 snr=-4 len=17 timestamp_us=3218978829 payload_hex=5750207330322070303420693030313520
__RX_FRAME__ idx=116 rssi=-118 snr=-3 len=17 timestamp_us=3219084078 payload_hex=5750207330322070303420693030313620
__RX_FRAME__ idx=117 rssi=-118 snr=-2 len=17 timestamp_us=3219181270 payload_hex=5750207330322070303420693030313720
__RX_FRAME__ idx=118 rssi=-119 snr=-3 len=17 timestamp_us=3219288489 payload_hex=5750207330322070303420693030313820
__RX_FRAME__ idx=119 rssi=-118 snr=-3 len=17 timestamp_us=3219392707 payload_hex=5750207330322070303420693030313920
__RX_FRAME__ idx=120 rssi=-118 snr=-3 len=17 timestamp_us=3219483874 payload_hex=5750207330322070303420693030323020
__RX_FRAME__ idx=121 rssi=-117 snr=-3 len=17 timestamp_us=3219580048 payload_hex=5750207330322070303420693030323120
__RX_FRAME__ idx=122 rssi=-118 snr=-2 len=17 timestamp_us=3219687206 payload_hex=5750207330322070303420693030323220
__RX_FRAME__ idx=123 rssi=-117 snr=-2 len=17 timestamp_us=3219796437 payload_hex=5750207330322070303420693030323320
__RX_FRAME__ idx=124 rssi=-117 snr=-3 len=17 timestamp_us=3219898629 payload_hex=5750207330322070303420693030323420
__RX_FRAME__ idx=125 rssi=-118 snr=-3 len=17 timestamp_us=3219995841 payload_hex=5750207330322070303420693030323520
__RX_FRAME__ idx=126 rssi=-118 snr=-3 len=17 timestamp_us=3220098073 payload_hex=5750207330322070303420693030323620
__RX_FRAME__ idx=127 rssi=-118 snr=-3 len=17 timestamp_us=3220188237 payload_hex=5750207330322070303420693030323720
__RX_FRAME__ idx=128 rssi=-117 snr=-2 len=17 timestamp_us=3220297454 payload_hex=5750207330322070303420693030323820
__RX_FRAME__ idx=129 rssi=-118 snr=-3 len=17 timestamp_us=3220394656 payload_hex=5750207330322070303420693030323920
__RX_FRAME__ idx=130 rssi=-117 snr=-2 len=17 timestamp_us=3220497849 payload_hex=5750207330322070303420693030333020
__RX_FRAME__ idx=131 rssi=-118 snr=-2 len=17 timestamp_us=3220589038 payload_hex=5750207330322070303420693030333120
__RX_FRAME__ idx=132 rssi=-118 snr=-2 len=17 timestamp_us=3220692238 payload_hex=5750207330322070303420693030333220
__RX_FRAME__ idx=133 rssi=-118 snr=-3 len=17 timestamp_us=3220796456 payload_hex=5750207330322070303420693030333320
__RX_FRAME__ idx=134 rssi=-118 snr=-2 len=17 timestamp_us=3220901623 payload_hex=5750207330322070303420693030333420
__RX_FRAME__ idx=135 rssi=-117 snr=-2 len=17 timestamp_us=3220998782 payload_hex=5750207330322070303420693030333520
