delay_ms,burst,total_attempts,ack_count,nack_count,zero_count,silent_count,other_count,burst_pass
5,1,10,1,0,0,9,0,1
5,2,10,0,1,0,9,0,0
5,3,10,0,1,0,9,0,0
5,4,10,0,1,0,9,0,0
5,5,10,1,0,0,9,0,1
10,1,10,0,1,0,9,0,0
10,2,10,0,1,0,9,0,0
10,3,10,0,1,0,9,0,0
10,4,10,1,0,0,9,0,1
10,5,10,0,1,0,9,0,0
15,1,10,0,1,0,9,0,0
15,2,10,0,1,0,9,0,0
15,3,10,1,0,0,9,0,1
15,4,10,0,1,0,9,0,0
15,5,10,0,2,0,8,0,0
20,1,10,0,2,0,8,0,0
20,2,10,1,1,0,8,0,1
20,3,10,0,2,0,8,0,0
20,4,10,0,2,0,8,0,0
20,5,10,0,2,0,8,0,0
25,1,10,1,1,0,8,0,1
25,2,10,0,0,0,1,9,0
25,3,10,0,0,2,8,0,0
25,4,10,0,0,0,4,6,0
25,5,10,0,0,3,7,0,0
30,1,10,1,4,0,5,0,1
30,2,10,0,0,0,5,5,0
30,3,10,0,0,2,8,0,0
30,4,10,0,0,0,10,0,0
30,5,10,1,4,0,5,0,1
