# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:46:52Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

delay_ms,burst,total_attempts,ack_count,nack_count,zero_count,silent_count,other_count,burst_pass
2,1,1,1,0,0,0,0,1
2,2,1,0,0,0,1,0,0
2,3,1,0,0,0,1,0,0
2,4,1,0,0,0,1,0,0
2,5,1,0,0,0,1,0,0
2,6,1,0,0,0,1,0,0
2,7,1,0,0,1,0,0,0
2,8,1,0,0,0,1,0,0
2,9,1,0,0,1,0,0,0
2,10,1,0,0,0,1,0,0
2,11,1,1,0,0,0,0,1
2,12,1,0,0,0,1,0,0
2,13,1,0,1,0,0,0,0
2,14,1,0,0,0,1,0,0
2,15,1,0,1,0,0,0,0
2,16,1,0,0,0,1,0,0
2,17,1,0,1,0,0,0,0
2,18,1,0,0,0,1,0,0
2,19,1,0,1,0,0,0,0
2,20,1,0,0,0,1,0,0
5,1,1,1,0,0,0,0,1
5,2,1,0,0,0,1,0,0
5,3,1,0,1,0,0,0,0
5,4,1,0,0,0,1,0,0
5,5,1,0,1,0,0,0,0
5,6,1,0,0,0,1,0,0
5,7,1,0,1,0,0,0,0
5,8,1,0,0,0,1,0,0
5,9,1,0,1,0,0,0,0
5,10,1,0,0,0,1,0,0
5,11,1,1,0,0,0,0,1
5,12,1,0,0,0,0,1,0
5,13,1,0,0,1,0,0,0
5,14,1,0,0,0,1,0,0
5,15,1,0,0,0,1,0,0
5,16,1,0,0,0,1,0,0
5,17,1,0,0,0,1,0,0
5,18,1,0,0,0,1,0,0
5,19,1,0,0,0,0,1,0
5,20,1,0,0,1,0,0,0
10,1,1,1,0,0,0,0,1
10,2,1,0,0,0,1,0,0
10,3,1,0,1,0,0,0,0
10,4,1,0,0,0,1,0,0
10,5,1,0,1,0,0,0,0
10,6,1,0,0,0,1,0,0
10,7,1,0,0,0,1,0,0
10,8,1,0,0,0,1,0,0
10,9,1,0,0,0,1,0,0
10,10,1,0,0,1,0,0,0
10,11,1,1,0,0,0,0,1
10,12,1,0,0,0,1,0,0
10,13,1,0,1,0,0,0,0
10,14,1,0,0,0,1,0,0
10,15,1,0,0,0,0,1,0
10,16,1,0,0,0,0,1,0
10,17,1,0,0,0,1,0,0
10,18,1,0,0,1,0,0,0
10,19,1,0,0,0,0,1,0
10,20,1,0,0,0,0,1,0
