"cycle","wall_start","reboot_rc","wait_for_device_s","probe_launch_s","probe_total_s","cycle_timeout","t_boot_urc_ms","t_profile_emit_ms","profile_ok","profile_text","drained_during_boot","notes"
"1","2026-05-22T16:00:09.2568342-05:00","0",,,"10.59","0",,"3","0","ERR request_failed:TimeoutError","2",""
"2","2026-05-22T16:00:19.9118435-05:00","0",,,"10.58","0",,"3","0","ERR request_failed:TimeoutError","2",""
