# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:50:34Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

timestamp_iso,step_idx,power_dbm_requested,power_dbm_echoed_first,count_sent,tx_done_ok,tx_done_fail,tx_timeout,radio_tx_ok_delta,radio_tx_abort_lbt_delta,radio_tx_abort_airtime_delta,mean_toa_us,tx_per_pct,rx_per_pct,rx_rssi_dbm_mean,rx_snr_db_mean,rx_crc_err_count
2026-05-19T17:16:40,0,14,14,100,100,0,0,100,0,0,25728.000,0.000,,,,
2026-05-19T17:16:51,1,17,17,100,100,0,0,100,0,0,25728.000,0.000,,,,
