# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: 68bc6070e969b76f3c3cbd3ffb4cb9d3e625c11a
# firmware_git_sha_short: 68bc6070e969
# build_timestamp_utc: 2026-05-20T23:56:08Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=120.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=993 radio_crc_err=5 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=44 rssi=-119 snr=-6 len=17 timestamp_us=236058692 payload_hex=5750207330312070303320693030303020
__RX_FRAME__ idx=45 rssi=-120 snr=-7 len=17 timestamp_us=236187974 payload_hex=5750207330312070303320693030303320
__RX_FRAME__ idx=46 rssi=-119 snr=-7 len=17 timestamp_us=236247303 payload_hex=5750207330312070303320693030303420
__RX_FRAME__ idx=47 rssi=-120 snr=-7 len=17 timestamp_us=236305229 payload_hex=5750207330312070303320693030303520
__RX_FRAME__ idx=48 rssi=-119 snr=-7 len=17 timestamp_us=236359652 payload_hex=5750207330312070303320693030303620
__RX_FRAME__ idx=49 rssi=-120 snr=-7 len=17 timestamp_us=236418108 payload_hex=5750207330312070303320693030303720
__RX_FRAME__ idx=50 rssi=-119 snr=-6 len=17 timestamp_us=236475794 payload_hex=5750207330312070303320693030303820
__RX_FRAME__ idx=51 rssi=-119 snr=-7 len=17 timestamp_us=236534304 payload_hex=5750207330312070303320693030303920
__RX_FRAME__ idx=52 rssi=-119 snr=-7 len=17 timestamp_us=236599839 payload_hex=5750207330312070303320693030313020
__RX_FRAME__ idx=53 rssi=-119 snr=-7 len=17 timestamp_us=236659133 payload_hex=5750207330312070303320693030313120
__RX_FRAME__ idx=54 rssi=-119 snr=-7 len=17 timestamp_us=236723474 payload_hex=5750207330312070303320693030313220
__RX_FRAME__ idx=55 rssi=-118 snr=-7 len=17 timestamp_us=236789651 payload_hex=5750207330312070303320693030313320
__RX_FRAME__ idx=56 rssi=-119 snr=-7 len=17 timestamp_us=236850257 payload_hex=5750207330312070303320693030313420
__RX_FRAME__ idx=57 rssi=-119 snr=-6 len=17 timestamp_us=236910882 payload_hex=5750207330312070303320693030313520
__RX_FRAME__ idx=58 rssi=-120 snr=-6 len=17 timestamp_us=236969804 payload_hex=5750207330312070303320693030313620
__RX_FRAME__ idx=59 rssi=-119 snr=-7 len=17 timestamp_us=237034233 payload_hex=5750207330312070303320693030313720
__RX_FRAME__ idx=60 rssi=-119 snr=-7 len=17 timestamp_us=237266756 payload_hex=5750207330312070303320693030323220
__RX_FRAME__ idx=61 rssi=-119 snr=-7 len=17 timestamp_us=237327529 payload_hex=5750207330312070303320693030323320
__RX_FRAME__ idx=62 rssi=-118 snr=-7 len=17 timestamp_us=237392110 payload_hex=5750207330312070303320693030323420
__RX_FRAME__ idx=63 rssi=-119 snr=-7 len=17 timestamp_us=237452596 payload_hex=5750207330312070303320693030323520
__RX_FRAME__ idx=64 rssi=-120 snr=-7 len=17 timestamp_us=237511359 payload_hex=5750207330312070303320693030323620
__RX_FRAME__ idx=65 rssi=-119 snr=-6 len=17 timestamp_us=237567522 payload_hex=5750207330312070303320693030323720
__RX_FRAME__ idx=66 rssi=-119 snr=-6 len=17 timestamp_us=237626120 payload_hex=5750207330312070303320693030323820
__RX_FRAME__ idx=67 rssi=-120 snr=-7 len=17 timestamp_us=237689452 payload_hex=5750207330312070303320693030323920
__RX_FRAME__ idx=68 rssi=-120 snr=-6 len=17 timestamp_us=237748171 payload_hex=5750207330312070303320693030333020
__RX_FRAME__ idx=69 rssi=-118 snr=-7 len=17 timestamp_us=237812615 payload_hex=5750207330312070303320693030333120
__RX_FRAME__ idx=70 rssi=-119 snr=-6 len=17 timestamp_us=237874695 payload_hex=5750207330312070303320693030333220
__RX_FRAME__ idx=71 rssi=-119 snr=-7 len=17 timestamp_us=237933529 payload_hex=5750207330312070303320693030333320
__RX_FRAME__ idx=72 rssi=-119 snr=-7 len=17 timestamp_us=237992268 payload_hex=5750207330312070303320693030333420
__RX_FRAME__ idx=73 rssi=-120 snr=-6 len=17 timestamp_us=238056949 payload_hex=5750207330312070303320693030333520
__RX_FRAME__ idx=74 rssi=-119 snr=-6 len=17 timestamp_us=238232257 payload_hex=5750207330312070303320693030333920
__RX_FRAME__ idx=75 rssi=-119 snr=-6 len=17 timestamp_us=238349834 payload_hex=5750207330312070303320693030343120
__RX_FRAME__ idx=76 rssi=-119 snr=-7 len=17 timestamp_us=238407765 payload_hex=5750207330312070303320693030343220
__RX_FRAME__ idx=77 rssi=-120 snr=-7 len=17 timestamp_us=238468618 payload_hex=5750207330312070303320693030343320
__RX_FRAME__ idx=78 rssi=-119 snr=-7 len=17 timestamp_us=238527513 payload_hex=5750207330312070303320693030343420
__RX_FRAME__ idx=79 rssi=-119 snr=-7 len=17 timestamp_us=238651306 payload_hex=5750207330312070303320693030343620
__RX_FRAME__ idx=80 rssi=-120 snr=-6 len=17 timestamp_us=238707665 payload_hex=5750207330312070303320693030343720
__RX_FRAME__ idx=81 rssi=-120 snr=-7 len=17 timestamp_us=238763805 payload_hex=5750207330312070303320693030343820
__RX_FRAME__ idx=82 rssi=-119 snr=-6 len=17 timestamp_us=238828138 payload_hex=5750207330312070303320693030343920
__RX_FRAME__ idx=83 rssi=-119 snr=-6 len=17 timestamp_us=238941424 payload_hex=5750207330322070303420693030303020
__RX_FRAME__ idx=84 rssi=-119 snr=-6 len=17 timestamp_us=239000136 payload_hex=5750207330322070303420693030303120
__RX_FRAME__ idx=85 rssi=-119 snr=-6 len=17 timestamp_us=239060567 payload_hex=5750207330322070303420693030303220
__RX_FRAME__ idx=86 rssi=-119 snr=-5 len=17 timestamp_us=239121124 payload_hex=5750207330322070303420693030303320
__RX_FRAME__ idx=87 rssi=-118 snr=-5 len=17 timestamp_us=239251290 payload_hex=5750207330322070303420693030303620
__RX_FRAME__ idx=88 rssi=-119 snr=-5 len=17 timestamp_us=239310401 payload_hex=5750207330322070303420693030303720
__RX_FRAME__ idx=89 rssi=-119 snr=-6 len=17 timestamp_us=239371224 payload_hex=5750207330322070303420693030303820
__RX_FRAME__ idx=90 rssi=-119 snr=-5 len=17 timestamp_us=239435871 payload_hex=5750207330322070303420693030303920
__RX_FRAME__ idx=91 rssi=-119 snr=-5 len=17 timestamp_us=239553580 payload_hex=5750207330322070303420693030313120
__RX_FRAME__ idx=92 rssi=-119 snr=-5 len=17 timestamp_us=239618572 payload_hex=5750207330322070303420693030313220
__RX_FRAME__ idx=93 rssi=-119 snr=-6 len=17 timestamp_us=239679013 payload_hex=5750207330322070303420693030313320
__RX_FRAME__ idx=94 rssi=-119 snr=-6 len=17 timestamp_us=239739793 payload_hex=5750207330322070303420693030313420
__RX_FRAME__ idx=95 rssi=-119 snr=-5 len=17 timestamp_us=239800176 payload_hex=5750207330322070303420693030313520
__RX_FRAME__ idx=96 rssi=-119 snr=-6 len=17 timestamp_us=239860671 payload_hex=5750207330322070303420693030313620
__RX_FRAME__ idx=97 rssi=-119 snr=-6 len=17 timestamp_us=239918974 payload_hex=5750207330322070303420693030313720
__RX_FRAME__ idx=98 rssi=-119 snr=-6 len=17 timestamp_us=239978127 payload_hex=5750207330322070303420693030313820
__RX_FRAME__ idx=99 rssi=-118 snr=-5 len=17 timestamp_us=240043103 payload_hex=5750207330322070303420693030313920
