delay_ms,bursts,pass_bursts,fail_bursts,pass_rate,attempts,ack,nack,zero,silent,other
2,20,2,18,0.1000,20,2,3,1,12,2
5,20,2,18,0.1000,20,2,5,1,8,4
10,20,2,18,0.1000,20,2,1,3,7,7
