delay_ms,burst,attempt,resp_size,first_byte,result_class,hex_prefix
2,1,1,1,79,ACK,79
2,2,1,0,NA,SILENT,NA
2,3,1,1,1f,NACK,1f
2,4,1,0,NA,SILENT,NA
2,5,1,1,1f,NACK,1f
2,6,1,0,NA,SILENT,NA
2,7,1,0,NA,SILENT,NA
2,8,1,0,NA,SILENT,NA
2,9,1,1,fe,OTHER,fe
2,10,1,4,80,OTHER,80000000
2,11,1,1,79,ACK,79
2,12,1,0,NA,SILENT,NA
2,13,1,1,1f,NACK,1f
2,14,1,0,NA,SILENT,NA
2,15,1,0,NA,SILENT,NA
2,16,1,0,NA,SILENT,NA
2,17,1,0,NA,SILENT,NA
2,18,1,0,NA,SILENT,NA
2,19,1,0,NA,SILENT,NA
2,20,1,5,00,ZERO,0000000000
5,1,1,1,79,ACK,79
5,2,1,0,NA,SILENT,NA
5,3,1,1,1f,NACK,1f
5,4,1,0,NA,SILENT,NA
5,5,1,1,1f,NACK,1f
5,6,1,0,NA,SILENT,NA
5,7,1,5,00,ZERO,0000000080
5,8,1,0,NA,SILENT,NA
5,9,1,1,80,OTHER,80
5,10,1,5,80,OTHER,8000000000
5,11,1,1,79,ACK,79
5,12,1,0,NA,SILENT,NA
5,13,1,1,1f,NACK,1f
5,14,1,0,NA,SILENT,NA
5,15,1,1,1f,NACK,1f
5,16,1,0,NA,SILENT,NA
5,17,1,1,1f,NACK,1f
5,18,1,0,NA,SILENT,NA
5,19,1,1,80,OTHER,80
5,20,1,5,80,OTHER,8000000000
10,1,1,1,79,ACK,79
10,2,1,1,fe,OTHER,fe
10,3,1,3,f8,OTHER,f81c80
10,4,1,5,00,ZERO,000000fe00
10,5,1,1,80,OTHER,80
10,6,1,1,80,OTHER,80
10,7,1,0,NA,SILENT,NA
10,8,1,0,NA,SILENT,NA
10,9,1,2,fb,OTHER,fb80
10,10,1,5,fb,OTHER,fb00000000
10,11,1,1,79,ACK,79
10,12,1,0,NA,SILENT,NA
10,13,1,1,1f,NACK,1f
10,14,1,0,NA,SILENT,NA
10,15,1,0,NA,SILENT,NA
10,16,1,1,80,OTHER,80
10,17,1,5,00,ZERO,0000000000
10,18,1,0,NA,SILENT,NA
10,19,1,0,NA,SILENT,NA
10,20,1,4,00,ZERO,00000000
