# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:45:31Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

runtrctphase10_resulttrom_ack_attempttuserhalt_sizetuserhalt_firsttlatest_dir
1t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080551
1t0tOKt1t0tNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080500
2t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080600
3t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080608
4t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080617
5t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080625
6t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080634
7t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080642
8t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080651
9t2tFAIL_NO_ROM_BASELINEt0tNAtNAt/tmp/lifetrac_p0c/phase10/T6_phase10_source_domain_ab_atomic_2022-05-04_080659
