cycle,launcher_rc,evidence_dir,final_result,elapsed_s,sync_ok,getid_ok,erase_ok,write_ok,verify_ok,boot_ok
1,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_224835,FAIL_SYNC,6,0,0,0,0,0,0
2,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_224847,FAIL_SYNC,5,0,0,0,0,0,0
3,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_224858,FAIL_SYNC,6,0,0,0,0,0,0
4,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_224910,FAIL_SYNC,5,0,0,0,0,0,0
5,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_224921,FAIL_SYNC,5,0,0,0,0,0,0
6,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_224933,FAIL_SYNC,5,0,0,0,0,0,0
7,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_224944,FAIL_SYNC,5,0,0,0,0,0,0
8,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_224956,FAIL_SYNC,5,0,0,0,0,0,0
9,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_225007,FAIL_SYNC,5,0,0,0,0,0,0
10,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_225019,FAIL_SYNC,5,0,0,0,0,0,0
11,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_225030,FAIL_SYNC,5,0,0,0,0,0,0
12,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_225042,FAIL_SYNC,5,0,0,0,0,0,0
13,1,C:\Users\dorkm\Documents\GitHub\LifeTrac\LifeTrac-v25\DESIGN-CONTROLLER\bench-evidence\T6_stage1_standard_2026-05-20_225053,FAIL_SYNC,5,0,0,0,0,0,0
