"cycle","wall_start","pre_probe_sleep_s","reboot_rc","wait_for_device_s","probe_launch_s","probe_total_s","cycle_timeout","t_boot_urc_ms","t_profile_emit_ms","profile_ok","profile_text","drained_during_boot","notes"
"1","2026-05-22T16:36:22.7392029-05:00","0.05","0",,,"8.28","0",,"4","1","0","0",""
"2","2026-05-22T16:36:31.0696379-05:00","0.05","0",,,"8.26","0",,"4","1","0","0",""
"3","2026-05-22T16:36:39.3403667-05:00","0.05","0",,,"8.27","0",,"4","1","0","0",""
"4","2026-05-22T16:36:47.6205572-05:00","0.05","0",,,"8.27","0",,"4","1","0","0",""
"5","2026-05-22T16:36:55.8973145-05:00","0.05","0",,,"8.27","0",,"4","1","0","0",""
