Starting synthetic camera publisher (broker=127.0.0.1, fps=20.0, duration=130.0s, budget=250B)...
[131] Publishing synthetic frame of size 236 bytes...

[132] Publishing synthetic frame of size 238 bytes...

[133] Publishing synthetic frame of size 236 bytes...

[134] Publishing synthetic frame of size 230 bytes...

[135] Publishing synthetic frame of size 226 bytes...

[136] Publishing synthetic frame of size 228 bytes...

[137] Publishing synthetic frame of size 228 bytes...

[138] Publishing synthetic frame of size 230 bytes...

[139] Publishing synthetic frame of size 226 bytes...

[140] Publishing synthetic frame of size 224 bytes...

[141] Publishing synthetic frame of size 244 bytes...

[142] Publishing synthetic frame of size 240 bytes...

[143] Publishing synthetic frame of size 238 bytes...

[144] Publishing synthetic frame of size 238 bytes...

[145] Publishing synthetic frame of size 240 bytes...

[146] Publishing synthetic frame of size 240 bytes...

[147] Publishing synthetic frame of size 238 bytes...

[148] Publishing synthetic frame of size 236 bytes...

[149] Publishing synthetic frame of size 236 bytes...

[150] Publishing synthetic frame of size 238 bytes...

[151] Publishing synthetic frame of size 240 bytes...

[152] Publishing synthetic frame of size 238 bytes...

[153] Publishing synthetic frame of size 242 bytes...

[154] Publishing synthetic frame of size 240 bytes...

[155] Publishing synthetic frame of size 240 bytes...

[156] Publishing synthetic frame of size 242 bytes...

[157] Publishing synthetic frame of size 240 bytes...

[158] Publishing synthetic frame of size 242 bytes...

[159] Publishing synthetic frame of size 248 bytes...

[160] Publishing synthetic frame of size 246 bytes...

[161] Publishing synthetic frame of size 260 bytes...

[162] Publishing synthetic frame of size 266 bytes...

[163] Publishing synthetic frame of size 127 bytes...

[164] Publishing synthetic frame of size 268 bytes...

[165] Publishing synthetic frame of size 127 bytes...

[166] Publishing synthetic frame of size 121 bytes...

[167] Publishing synthetic frame of size 117 bytes...

[168] Publishing synthetic frame of size 115 bytes...

[169] Publishing synthetic frame of size 115 bytes...

[170] Publishing synthetic frame of size 117 bytes...

[171] Publishing synthetic frame of size 117 bytes...

[172] Publishing synthetic frame of size 115 bytes...

[173] Publishing synthetic frame of size 135 bytes...

[174] Publishing synthetic frame of size 131 bytes...

[175] Publishing synthetic frame of size 129 bytes...

[176] Publishing synthetic frame of size 129 bytes...

[177] Publishing synthetic frame of size 129 bytes...

[178] Publishing synthetic frame of size 129 bytes...

[179] Publishing synthetic frame of size 131 bytes...

[180] Publishing synthetic frame of size 129 bytes...

[181] Publishing synthetic frame of size 131 bytes...

[182] Publishing synthetic frame of size 131 bytes...

[183] Publishing synthetic frame of size 133 bytes...

[184] Publishing synthetic frame of size 131 bytes...

[185] Publishing synthetic frame of size 135 bytes...

[186] Publishing synthetic frame of size 131 bytes...

[187] Publishing synthetic frame of size 133 bytes...

[188] Publishing synthetic frame of size 129 bytes...

[189] Publishing synthetic frame of size 131 bytes...

[190] Publishing synthetic frame of size 133 bytes...

[191] Publishing synthetic frame of size 135 bytes...

[192] Publishing synthetic frame of size 135 bytes...

[193] Publishing synthetic frame of size 151 bytes...

[194] Publishing synthetic frame of size 155 bytes...

[195] Publishing synthetic frame of size 161 bytes...

[196] Publishing synthetic frame of size 161 bytes...

[197] Publishing synthetic frame of size 175 bytes...

[198] Publishing synthetic frame of size 183 bytes...

[199] Publishing synthetic frame of size 177 bytes...

[200] Publishing synthetic frame of size 175 bytes...

[201] Publishing synthetic frame of size 193 bytes...

[202] Publishing synthetic frame of size 203 bytes...

[203] Publishing synthetic frame of size 201 bytes...

[204] Publishing synthetic frame of size 201 bytes...

[205] Publishing synthetic frame of size 215 bytes...

[206] Publishing synthetic frame of size 225 bytes...

[207] Publishing synthetic frame of size 213 bytes...

[208] Publishing synthetic frame of size 211 bytes...

[209] Publishing synthetic frame of size 247 bytes...

[210] Publishing synthetic frame of size 255 bytes...

[211] Publishing synthetic frame of size 255 bytes...

[212] Publishing synthetic frame of size 261 bytes...

[213] Publishing synthetic frame of size 267 bytes...

[214] Publishing synthetic frame of size 267 bytes...

[215] Publishing synthetic frame of size 261 bytes...

[216] Publishing synthetic frame of size 257 bytes...

[217] Publishing synthetic frame of size 265 bytes...

[218] Publishing synthetic frame of size 261 bytes...

[219] Publishing synthetic frame of size 263 bytes...

[220] Publishing synthetic frame of size 263 bytes...

[221] Publishing synthetic frame of size 265 bytes...

[222] Publishing synthetic frame of size 253 bytes...

[223] Publishing synthetic frame of size 273 bytes...

[224] Publishing synthetic frame of size 265 bytes...

[225] Publishing synthetic frame of size 253 bytes...

[226] Publishing synthetic frame of size 273 bytes...

[227] Publishing synthetic frame of size 269 bytes...

[228] Publishing synthetic frame of size 267 bytes...

[229] Publishing synthetic frame of size 263 bytes...

[230] Publishing synthetic frame of size 265 bytes...

[231] Publishing synthetic frame of size 253 bytes...

[232] Publishing synthetic frame of size 239 bytes...

[233] Publishing synthetic frame of size 269 bytes...

[234] Publishing synthetic frame of size 267 bytes...

[235] Publishing synthetic frame of size 257 bytes...

[236] Publishing synthetic frame of size 241 bytes...

[237] Publishing synthetic frame of size 255 bytes...

[238] Publishing synthetic frame of size 241 bytes...

[239] Publishing synthetic frame of size 197 bytes...

[240] Publishing synthetic frame of size 199 bytes...

[241] Publishing synthetic frame of size 213 bytes...

[242] Publishing synthetic frame of size 203 bytes...

[243] Publishing synthetic frame of size 197 bytes...

[244] Publishing synthetic frame of size 193 bytes...

[245] Publishing synthetic frame of size 197 bytes...

[246] Publishing synthetic frame of size 189 bytes...

[247] Publishing synthetic frame of size 171 bytes...

[248] Publishing synthetic frame of size 173 bytes...

[249] Publishing synthetic frame of size 181 bytes...

[250] Publishing synthetic frame of size 173 bytes...

[251] Publishing synthetic frame of size 163 bytes...

[252] Publishing synthetic frame of size 163 bytes...

[253] Publishing synthetic frame of size 159 bytes...

[254] Publishing synthetic frame of size 262 bytes...

[255] Publishing synthetic frame of size 248 bytes...

[256] Publishing synthetic frame of size 252 bytes...

[257] Publishing synthetic frame of size 246 bytes...

[258] Publishing synthetic frame of size 246 bytes...

[259] Publishing synthetic frame of size 244 bytes...

[260] Publishing synthetic frame of size 246 bytes...

[261] Publishing synthetic frame of size 246 bytes...

[262] Publishing synthetic frame of size 250 bytes...

[263] Publishing synthetic frame of size 248 bytes...

[264] Publishing synthetic frame of size 248 bytes...

[265] Publishing synthetic frame of size 240 bytes...

[266] Publishing synthetic frame of size 244 bytes...

[267] Publishing synthetic frame of size 244 bytes...

[268] Publishing synthetic frame of size 248 bytes...

[269] Publishing synthetic frame of size 242 bytes...

[270] Publishing synthetic frame of size 240 bytes...

[271] Publishing synthetic frame of size 242 bytes...

[272] Publishing synthetic frame of size 244 bytes...

[273] Publishing synthetic frame of size 242 bytes...

[274] Publishing synthetic frame of size 244 bytes...

[275] Publishing synthetic frame of size 240 bytes...

[276] Publishing synthetic frame of size 244 bytes...

[277] Publishing synthetic frame of size 240 bytes...

[278] Publishing synthetic frame of size 242 bytes...

[279] Publishing synthetic frame of size 242 bytes...

[280] Publishing synthetic frame of size 244 bytes...

[281] Publishing synthetic frame of size 230 bytes...

[282] Publishing synthetic frame of size 244 bytes...

[283] Publishing synthetic frame of size 242 bytes...

[284] Publishing synthetic frame of size 226 bytes...

[285] Publishing synthetic frame of size 234 bytes...

[286] Publishing synthetic frame of size 244 bytes...

[287] Publishing synthetic frame of size 240 bytes...

[288] Publishing synthetic frame of size 244 bytes...

[289] Publishing synthetic frame of size 256 bytes...

[290] Publishing synthetic frame of size 260 bytes...

[291] Publishing synthetic frame of size 262 bytes...

[292] Publishing synthetic frame of size 268 bytes...

[293] Publishing synthetic frame of size 131 bytes...

[294] Publishing synthetic frame of size 133 bytes...

[295] Publishing synthetic frame of size 131 bytes...

[296] Publishing synthetic frame of size 131 bytes...

[297] Publishing synthetic frame of size 129 bytes...

[298] Publishing synthetic frame of size 131 bytes...

[299] Publishing synthetic frame of size 131 bytes...

[300] Publishing synthetic frame of size 131 bytes...

[301] Publishing synthetic frame of size 129 bytes...

[302] Publishing synthetic frame of size 127 bytes...

[303] Publishing synthetic frame of size 129 bytes...

[304] Publishing synthetic frame of size 127 bytes...

[305] Publishing synthetic frame of size 127 bytes...

[306] Publishing synthetic frame of size 127 bytes...

[307] Publishing synthetic frame of size 127 bytes...

[308] Publishing synthetic frame of size 127 bytes...

[309] Publishing synthetic frame of size 127 bytes...

[310] Publishing synthetic frame of size 127 bytes...

[311] Publishing synthetic frame of size 129 bytes...

[312] Publishing synthetic frame of size 127 bytes...

[313] Publishing synthetic frame of size 115 bytes...

[314] Publishing synthetic frame of size 129 bytes...

[315] Publishing synthetic frame of size 127 bytes...

[316] Publishing synthetic frame of size 115 bytes...

[317] Publishing synthetic frame of size 117 bytes...

[318] Publishing synthetic frame of size 129 bytes...

[319] Publishing synthetic frame of size 125 bytes...

[320] Publishing synthetic frame of size 129 bytes...

